,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
396,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,AC Gilchrist,PC Valthaty,SE Marsh,_,_,_,_,_,_,SK Trivedi,SW Tait,SK Warne,SR Watson,_,_
397,"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,SA Asnodkar,R Dravid,SR Watson,STR Binny,_,_,_,_,_,P Kumar,RJ Harris,BA Bhatt,_,_,_
398,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,JH Kallis,BJ Haddin,G Gambhir,_,_,_,_,_,_,Z Khan,S Aravind,J Syed Mohammad,TM Dilshan,_,_
399,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,TM Dilshan,CH Gayle,_,_,_,_,_,_,_,YK Pathan,L Balaji,JD Unadkat,Shakib Al Hasan,_,_
400,Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,R Sathish,SR Tendulkar,AT Rayudu,RG Sharma,_,_,_,_,_,JA Morkel,DE Bollinger,Joginder Sharma,_,_,_
401,Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,MEK Hussey,M Vijay,SK Raina,S Badrinath,_,_,_,_,_,MM Patel,SL Malinga,AN Ahmed,Harbhajan Singh,_,_
402,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,DA Warner,V Sehwag,_,_,_,_,_,_,_,P Kumar,RJ Harris,SJ Srivastava,_,_,_
403,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,AC Gilchrist,PC Valthaty,SE Marsh,_,_,_,_,_,_,M Morkel,IK Pathan,_,_,_,_
404,Sawai Mansingh Stadium,1,Kochi Tuskers Kerala,Rajasthan Royals,DPMD Jayawardene,VVS Laxman,PA Patel,BJ Hodge,_,_,_,_,_,A Singh,SR Watson,J Botha,_,_,_
405,Sawai Mansingh Stadium,2,Rajasthan Royals,Kochi Tuskers Kerala,SR Watson,R Dravid,_,_,_,_,_,_,_,RP Singh,R Vinay Kumar,M Muralitharan,_,_,_
406,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,DJ Jacobs,SR Tendulkar,AT Rayudu,_,_,_,_,_,_,A Mishra,DW Steyn,PP Ojha,I Sharma,DT Christian,_
407,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,S Sohal,S Dhawan,KC Sangakkara,CL White,_,_,_,_,_,MM Patel,Harbhajan Singh,AN Ahmed,SL Malinga,_,_
408,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Pune Warriors,M Vijay,MEK Hussey,_,_,_,_,_,_,_,NL McCullum,JE Taylor,AC Thomas,M Kartik,_,_
409,"MA Chidambaram Stadium, Chepauk",2,Pune Warriors,Chennai Super Kings,JD Ryder,MD Mishra,MK Pandey,RV Uthappa,Yuvraj Singh,M Manhas,_,_,_,JA Morkel,DE Bollinger,R Ashwin,_,_,_
410,Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,DA Warner,V Sehwag,JR Hopes,_,_,_,_,_,_,Z Khan,S Aravind,_,_,_,_
411,Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,CH Gayle,TM Dilshan,V Kohli,_,_,_,_,_,_,AB Dinda,IK Pathan,M Morkel,_,_,_
412,Dr DY Patil Sports Academy,1,Pune Warriors,Chennai Super Kings,JD Ryder,MD Mishra,MK Pandey,M Manhas,Yuvraj Singh,_,_,_,_,KMDN Kulasekara,DE Bollinger,TG Southee,_,_,_
413,Dr DY Patil Sports Academy,2,Chennai Super Kings,Pune Warriors,MEK Hussey,M Vijay,S Badrinath,_,_,_,_,_,_,AC Thomas,JE Taylor,M Kartik,MR Marsh,_,_
414,Nehru Stadium,1,Deccan Chargers,Kochi Tuskers Kerala,S Sohal,S Dhawan,B Chipli,KC Sangakkara,CL White,_,_,_,_,RP Singh,S Sreesanth,R Vinay Kumar,_,_,_
415,Nehru Stadium,2,Kochi Tuskers Kerala,Deccan Chargers,BB McCullum,DPMD Jayawardene,PA Patel,RV Gomez,BJ Hodge,KM Jadhav,RA Jadeja,NLTC Perera,_,DW Steyn,I Sharma,_,_,_,_
416,Feroz Shah Kotla,1,Kolkata Knight Riders,Delhi Daredevils,JH Kallis,SP Goswami,G Gambhir,_,_,_,_,_,_,IK Pathan,M Morkel,UT Yadav,_,_,_
417,Feroz Shah Kotla,2,Delhi Daredevils,Kolkata Knight Riders,DA Warner,V Sehwag,JR Hopes,_,_,_,_,_,_,B Lee,L Balaji,JD Unadkat,Iqbal Abdulla,_,_
418,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Pune Warriors,CH Gayle,TM Dilshan,_,_,_,_,_,_,_,AC Thomas,JE Taylor,Kamran Khan,_,_,_
419,M Chinnaswamy Stadium,2,Pune Warriors,Royal Challengers Bangalore,JD Ryder,TD Paine,MK Pandey,_,_,_,_,_,_,Z Khan,S Aravind,A Mithun,_,_,_
420,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,DJ Jacobs,SR Tendulkar,AT Rayudu,RG Sharma,_,_,_,_,_,AL Menaria,A Singh,SR Watson,_,_,_
421,Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,SR Watson,R Dravid,J Botha,_,_,_,_,_,_,SL Malinga,MM Patel,AG Murtaza,_,_,_
422,Nehru Stadium,1,Delhi Daredevils,Kochi Tuskers Kerala,DA Warner,V Sehwag,NV Ojha,Y Venugopal Rao,_,_,_,_,_,RP Singh,S Sreesanth,_,_,_,_
423,Nehru Stadium,2,Kochi Tuskers Kerala,Delhi Daredevils,BB McCullum,M Klinger,PA Patel,DPMD Jayawardene,BJ Hodge,_,_,_,_,IK Pathan,M Morkel,UT Yadav,_,_,_
424,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,AC Gilchrist,PC Valthaty,SE Marsh,_,_,_,_,_,_,B Lee,L Balaji,Iqbal Abdulla,YK Pathan,_,_
425,Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,JH Kallis,EJG Morgan,G Gambhir,MK Tiwary,_,_,_,_,_,P Kumar,BA Bhatt,DJ Hussey,RJ Harris,_,_
426,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,M Vijay,MEK Hussey,SK Raina,_,_,_,_,_,_,JP Duminy,DT Christian,I Sharma,PP Ojha,_,_
427,"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,Chennai Super Kings,S Sohal,S Dhawan,_,_,_,_,_,_,_,JA Morkel,DE Bollinger,R Ashwin,S Randiv,_,_
428,Sawai Mansingh Stadium,1,Pune Warriors,Rajasthan Royals,JD Ryder,MK Pandey,RV Uthappa,_,_,_,_,_,_,J Botha,AL Menaria,SR Watson,A Singh,SK Warne,_
429,Sawai Mansingh Stadium,2,Rajasthan Royals,Pune Warriors,SR Watson,R Dravid,J Botha,_,_,_,_,_,_,M Kartik,AC Thomas,R Sharma,JE Taylor,_,_
430,Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,DJ Jacobs,SR Tendulkar,AT Rayudu,_,_,_,_,_,_,BA Bhatt,P Kumar,Bipul Sharma,_,_,_
431,Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,PC Valthaty,AC Gilchrist,SE Marsh,_,_,_,_,_,_,Harbhajan Singh,SL Malinga,AN Ahmed,MM Patel,_,_
432,Feroz Shah Kotla,1,Delhi Daredevils,Kochi Tuskers Kerala,DA Warner,V Sehwag,NV Ojha,Y Nagar,_,_,_,_,_,RP Singh,S Sreesanth,P Parameswaran,_,_,_
433,Feroz Shah Kotla,2,Kochi Tuskers Kerala,Delhi Daredevils,M Klinger,BB McCullum,PA Patel,_,_,_,_,_,_,IK Pathan,M Morkel,UT Yadav,_,_,_
434,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,EJG Morgan,JH Kallis,G Gambhir,_,_,_,_,_,_,DT Christian,DW Steyn,I Sharma,_,_,_
435,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,S Sohal,S Dhawan,KC Sangakkara,CL White,_,_,_,_,_,B Lee,L Balaji,Iqbal Abdulla,_,_,_
436,"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,SR Watson,R Dravid,_,_,_,_,_,_,_,JA Morkel,DE Bollinger,R Ashwin,_,_,_
437,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,MEK Hussey,M Vijay,SK Raina,_,_,_,_,_,_,ND Doshi,J Botha,SR Watson,SK Trivedi,_,_
438,Dr DY Patil Sports Academy,1,Mumbai Indians,Pune Warriors,AC Blizzard,SR Tendulkar,AT Rayudu,_,_,_,_,_,_,AC Thomas,SB Wagh,JE Taylor,_,_,_
439,Dr DY Patil Sports Academy,2,Pune Warriors,Mumbai Indians,JD Ryder,MK Pandey,GC Smith,AA Jhunjhunwala,_,_,_,_,_,Harbhajan Singh,MM Patel,DS Kulkarni,SL Malinga,_,_
440,Nehru Stadium,1,Kochi Tuskers Kerala,Kolkata Knight Riders,BB McCullum,M Klinger,PA Patel,DPMD Jayawardene,_,_,_,_,_,B Lee,JD Unadkat,Iqbal Abdulla,_,_,_
441,Nehru Stadium,2,Kolkata Knight Riders,Kochi Tuskers Kerala,JH Kallis,EJG Morgan,_,_,_,_,_,_,_,RP Singh,S Sreesanth,R Vinay Kumar,P Parameswaran,_,_
442,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,S Dhawan,DB Ravi Teja,KC Sangakkara,_,_,_,_,_,_,M Morkel,IK Pathan,AM Salvi,_,_,_
443,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,AJ Finch,V Sehwag,NV Ojha,Y Venugopal Rao,TR Birt,_,_,_,_,DW Steyn,I Sharma,DT Christian,_,_,_
444,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,CH Gayle,TM Dilshan,V Kohli,_,_,_,_,_,_,P Kumar,RJ Harris,R McLaren,_,_,_
445,M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,AC Gilchrist,PC Valthaty,AM Nayar,SE Marsh,KD Karthik,Sunny Singh,_,_,_,Z Khan,S Aravind,CH Gayle,_,_,_
446,Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,MEK Hussey,M Vijay,SK Raina,S Badrinath,_,_,_,_,_,B Lee,Iqbal Abdulla,YK Pathan,_,_,_
447,Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,EJG Morgan,JH Kallis,G Gambhir,_,_,_,_,_,_,JA Morkel,R Ashwin,DE Bollinger,_,_,_
448,Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,AC Blizzard,SR Tendulkar,AT Rayudu,_,_,_,_,_,_,M Morkel,IK Pathan,AB Agarkar,_,_,_
449,Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,V Sehwag,DA Warner,CA Ingram,NV Ojha,Y Venugopal Rao,JR Hopes,_,_,_,Harbhajan Singh,SL Malinga,MM Patel,DS Kulkarni,_,_
450,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Pune Warriors,AC Gilchrist,PC Valthaty,SE Marsh,_,_,_,_,_,_,B Kumar,SB Wagh,WD Parnell,R Sharma,_,_
451,"Punjab Cricket Association Stadium, Mohali",2,Pune Warriors,Kings XI Punjab,JD Ryder,MK Pandey,RV Uthappa,_,_,_,_,_,_,P Kumar,RJ Harris,SJ Srivastava,BA Bhatt,_,_
452,M Chinnaswamy Stadium,1,Kochi Tuskers Kerala,Royal Challengers Bangalore,M Klinger,BB McCullum,PA Patel,_,_,_,_,_,_,Z Khan,S Aravind,CH Gayle,DL Vettori,_,_
453,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kochi Tuskers Kerala,CH Gayle,TM Dilshan,V Kohli,_,_,_,_,_,_,RP Singh,RR Powar,P Parameswaran,R Vinay Kumar,_,_
454,Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,MEK Hussey,M Vijay,_,_,_,_,_,_,_,AL Menaria,A Singh,SR Watson,J Botha,_,_
455,Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,SR Watson,R Dravid,AM Rahane,LRPL Taylor,_,_,_,_,_,JA Morkel,DE Bollinger,DJ Bravo,R Ashwin,_,_
456,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,PC Valthaty,AC Gilchrist,SE Marsh,_,_,_,_,_,_,Harbhajan Singh,SL Malinga,MM Patel,_,_,_
457,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,AC Blizzard,SR Tendulkar,RG Sharma,A Symonds,AT Rayudu,_,_,_,_,P Kumar,BA Bhatt,Bipul Sharma,RJ Harris,_,_
458,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Pune Warriors,S Dhawan,DB Ravi Teja,_,_,_,_,_,_,_,B Kumar,SB Wagh,WD Parnell,R Sharma,_,_
459,"Rajiv Gandhi International Stadium, Uppal",2,Pune Warriors,Deccan Chargers,JD Ryder,MK Pandey,_,_,_,_,_,_,_,DW Steyn,I Sharma,PP Ojha,JP Duminy,DT Christian,A Mishra
460,Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,SR Watson,R Dravid,_,_,_,_,_,_,_,Z Khan,S Aravind,CK Langeveldt,_,_,_
461,Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,TM Dilshan,_,_,_,_,_,_,_,SR Watson,J Botha,Pankaj Singh,SK Trivedi,_,_
462,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,MEK Hussey,M Vijay,SK Raina,S Badrinath,_,_,_,_,_,IK Pathan,AB McDonald,VR Aaron,AB Agarkar,_,_
463,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,NV Ojha,DA Warner,CA Ingram,_,_,_,_,_,_,JA Morkel,DE Bollinger,R Ashwin,_,_,_
464,Holkar Cricket Stadium,1,Kochi Tuskers Kerala,Kings XI Punjab,BB McCullum,DPMD Jayawardene,_,_,_,_,_,_,_,RJ Harris,BA Bhatt,Bipul Sharma,SJ Srivastava,_,_
465,Holkar Cricket Stadium,2,Kings XI Punjab,Kochi Tuskers Kerala,AC Gilchrist,PC Valthaty,SE Marsh,KD Karthik,_,_,_,_,_,RP Singh,S Sreesanth,_,_,_,_
466,Wankhede Stadium,1,Deccan Chargers,Mumbai Indians,MJ Lumb,S Sohal,KC Sangakkara,_,_,_,_,_,_,SL Malinga,MM Patel,Harbhajan Singh,DS Kulkarni,_,_
467,Wankhede Stadium,2,Mumbai Indians,Deccan Chargers,SR Tendulkar,AC Blizzard,AT Rayudu,RG Sharma,A Symonds,_,_,_,_,JP Duminy,I Sharma,PP Ojha,_,_,_
468,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,JH Kallis,EJG Morgan,G Gambhir,MK Tiwary,YK Pathan,_,_,_,_,Z Khan,CK Langeveldt,S Aravind,_,_,_
469,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,CH Gayle,LA Pomersbach,V Kohli,AB de Villiers,_,_,_,_,_,B Lee,JD Unadkat,JH Kallis,_,_,_
470,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Delhi Daredevils,PC Valthaty,AC Gilchrist,SE Marsh,_,_,_,_,_,_,IK Pathan,M Morkel,VR Aaron,AM Salvi,_,_
471,Himachal Pradesh Cricket Association Stadium,2,Delhi Daredevils,Kings XI Punjab,NV Ojha,DA Warner,_,_,_,_,_,_,_,P Kumar,RJ Harris,SJ Srivastava,_,_,_
472,Holkar Cricket Stadium,1,Rajasthan Royals,Kochi Tuskers Kerala,FY Fazal,R Dravid,SR Watson,AM Rahane,AL Menaria,_,_,_,_,RP Singh,S Sreesanth,_,_,_,_
473,Holkar Cricket Stadium,2,Kochi Tuskers Kerala,Rajasthan Royals,BB McCullum,DPMD Jayawardene,PA Patel,BJ Hodge,_,_,_,_,_,SW Tait,JDP Oram,ND Doshi,AA Chavan,_,_
474,Dr DY Patil Sports Academy,1,Pune Warriors,Deccan Chargers,JD Ryder,MK Pandey,SC Ganguly,RV Uthappa,_,_,_,_,_,JP Duminy,DW Steyn,I Sharma,DT Christian,_,_
475,Dr DY Patil Sports Academy,2,Deccan Chargers,Pune Warriors,S Sohal,S Dhawan,_,_,_,_,_,_,_,B Kumar,WD Parnell,R Sharma,MR Marsh,_,_
476,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,PC Valthaty,AC Gilchrist,SE Marsh,_,_,_,_,_,_,JJ van der Wath,CK Langeveldt,CH Gayle,S Aravind,_,_
477,Himachal Pradesh Cricket Association Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,CH Gayle,SS Tiwary,V Kohli,AB de Villiers,_,_,_,_,_,P Kumar,RJ Harris,SJ Srivastava,_,_,_
478,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kochi Tuskers Kerala,MEK Hussey,M Vijay,SK Raina,S Badrinath,_,_,_,_,_,RP Singh,S Sreesanth,M Muralitharan,_,_,_
479,"MA Chidambaram Stadium, Chepauk",2,Kochi Tuskers Kerala,Chennai Super Kings,PA Patel,BB McCullum,Y Gnaneswara Rao,_,_,_,_,_,_,R Ashwin,DE Bollinger,SB Jakati,_,_,_
480,Dr DY Patil Sports Academy,1,Pune Warriors,Kolkata Knight Riders,JD Ryder,MK Pandey,CJ Ferguson,SC Ganguly,_,_,_,_,_,B Lee,YK Pathan,Iqbal Abdulla,JH Kallis,_,_
481,Dr DY Patil Sports Academy,2,Kolkata Knight Riders,Pune Warriors,G Gambhir,SP Goswami,MK Tiwary,_,_,_,_,_,_,AC Thomas,WD Parnell,R Sharma,B Kumar,_,_
482,Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,TL Suman,SR Tendulkar,AT Rayudu,RG Sharma,_,_,_,_,_,AA Chavan,SR Watson,_,_,_,_
483,Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,SR Watson,R Dravid,_,_,_,_,_,_,_,MM Patel,Harbhajan Singh,SL Malinga,DS Kulkarni,_,_
484,Himachal Pradesh Cricket Association Stadium,1,Deccan Chargers,Kings XI Punjab,S Dhawan,DB Ravi Teja,_,_,_,_,_,_,_,P Kumar,RJ Harris,BA Bhatt,_,_,_
485,Himachal Pradesh Cricket Association Stadium,2,Kings XI Punjab,Deccan Chargers,PC Valthaty,AC Gilchrist,SE Marsh,KD Karthik,_,_,_,_,_,JP Duminy,DW Steyn,Anand Rajan,PP Ojha,_,_
486,Feroz Shah Kotla,1,Delhi Daredevils,Pune Warriors,NV Ojha,DA Warner,MS Wade,CA Ingram,_,_,_,_,_,AC Thomas,JP Faulkner,SS Mundhe,_,_,_
487,M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,MEK Hussey,M Vijay,SK Raina,S Badrinath,WP Saha,MS Dhoni,_,_,_,Z Khan,S Aravind,DL Vettori,_,_,_
488,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,AB de Villiers,CH Gayle,V Kohli,_,_,_,_,_,_,R Ashwin,DE Bollinger,_,_,_,_
489,Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,JH Kallis,SP Goswami,G Gambhir,MK Tiwary,_,_,_,_,_,AN Ahmed,SL Malinga,Harbhajan Singh,RW Price,_,_
490,Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,TL Suman,SR Tendulkar,Harbhajan Singh,_,_,_,_,_,_,B Lee,Iqbal Abdulla,Shakib Al Hasan,L Balaji,_,_
491,Wankhede Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,MA Agarwal,CH Gayle,V Kohli,_,_,_,_,_,_,JA Morkel,DE Bollinger,R Ashwin,_,_,_
492,Wankhede Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,MEK Hussey,M Vijay,SK Raina,S Badrinath,_,_,_,_,_,Z Khan,S Aravind,A Mithun,_,_,_
493,Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,G Gambhir,JH Kallis,SP Goswami,MK Tiwary,YK Pathan,RN ten Doeschate,_,_,_,DS Kulkarni,MM Patel,Harbhajan Singh,SL Malinga,_,_
494,Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,AC Blizzard,SR Tendulkar,_,_,_,_,_,_,_,B Lee,Iqbal Abdulla,YK Pathan,Shakib Al Hasan,_,_
495,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Mumbai Indians,MA Agarwal,CH Gayle,_,_,_,_,_,_,_,AN Ahmed,Harbhajan Singh,SL Malinga,MM Patel,_,_
496,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Royal Challengers Bangalore,AC Blizzard,SR Tendulkar,Harbhajan Singh,RG Sharma,_,_,_,_,_,Z Khan,S Aravind,CH Gayle,A Mithun,_,_
497,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Royal Challengers Bangalore,MEK Hussey,M Vijay,_,_,_,_,_,_,_,Z Khan,S Aravind,CH Gayle,J Syed Mohammad,_,_
498,"MA Chidambaram Stadium, Chepauk",2,Royal Challengers Bangalore,Chennai Super Kings,MA Agarwal,CH Gayle,V Kohli,AB de Villiers,_,_,_,_,_,R Ashwin,JA Morkel,DE Bollinger,_,_,_
499,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,F du Plessis,M Vijay,SK Raina,DJ Bravo,_,_,_,_,_,SL Malinga,AN Ahmed,Harbhajan Singh,JEC Franklin,_,_
500,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,RE Levi,SR Tendulkar,_,_,_,_,_,_,_,JA Morkel,DE Bollinger,R Ashwin,RA Jadeja,_,_
501,Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,BB McCullum,JH Kallis,G Gambhir,MK Tiwary,YK Pathan,DB Das,_,_,_,IK Pathan,RE van der Merwe,M Morkel,UT Yadav,GJ Maxwell,_
502,Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,AJ Finch,V Sehwag,_,_,_,_,_,_,_,B Lee,M de Lange,Iqbal Abdulla,JH Kallis,_,_
503,Wankhede Stadium,1,Pune Warriors,Mumbai Indians,MK Pandey,SC Ganguly,WD Parnell,RV Uthappa,CJ Ferguson,_,_,_,_,SL Malinga,Harbhajan Singh,MM Patel,PP Ojha,_,_
504,Wankhede Stadium,2,Mumbai Indians,Pune Warriors,RE Levi,AT Rayudu,RG Sharma,JEC Franklin,KD Karthik,_,_,_,_,M Kartik,AB Dinda,MN Samuels,WD Parnell,_,_
505,Sawai Mansingh Stadium,1,Rajasthan Royals,Kings XI Punjab,R Dravid,AM Rahane,_,_,_,_,_,_,_,P Kumar,JP Faulkner,PP Chawla,_,_,_
506,Sawai Mansingh Stadium,2,Kings XI Punjab,Rajasthan Royals,AC Gilchrist,PC Valthaty,SE Marsh,AM Nayar,_,_,_,_,_,SK Trivedi,J Botha,A Singh,KK Cooper,_,_
507,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Chennai Super Kings,Deccan Chargers,M Vijay,F du Plessis,SK Raina,S Badrinath,_,_,_,_,_,Ankit Sharma,DW Steyn,MS Gony,DT Christian,_,_
508,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Deccan Chargers,Chennai Super Kings,DJ Harris,S Dhawan,PA Patel,_,_,_,_,_,_,R Ashwin,JA Morkel,DE Bollinger,_,_,_
509,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,AB McDonald,CA Pujara,V Kohli,_,_,_,_,_,_,IK Pathan,DAJ Bracewell,M Morkel,UT Yadav,_,_
510,M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,AJ Finch,V Sehwag,NV Ojha,_,_,_,_,_,_,Z Khan,R Vinay Kumar,AB McDonald,_,_,_
511,Subrata Roy Sahara Stadium,1,Pune Warriors,Kings XI Punjab,JD Ryder,SC Ganguly,MN Samuels,RV Uthappa,_,_,_,_,_,P Kumar,JP Faulkner,AD Mascarenhas,_,_,_
512,Subrata Roy Sahara Stadium,2,Kings XI Punjab,Pune Warriors,AC Gilchrist,PC Valthaty,Mandeep Singh,AM Nayar,_,_,_,_,_,AB Dinda,MN Samuels,A Nehra,R Sharma,_,_
513,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,R Dravid,AM Rahane,SP Goswami,_,_,_,_,_,_,B Lee,JH Kallis,SP Narine,Iqbal Abdulla,_,_
514,Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,JH Kallis,BB McCullum,G Gambhir,MK Tiwary,DB Das,YK Pathan,_,_,_,AA Chavan,A Singh,KK Cooper,_,_,_
515,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Deccan Chargers,Mumbai Indians,PA Patel,S Dhawan,B Chipli,DT Christian,_,_,_,_,_,Harbhajan Singh,MM Patel,SL Malinga,PP Ojha,_,_
516,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Mumbai Indians,Deccan Chargers,TL Suman,RE Levi,RG Sharma,AT Rayudu,_,_,_,_,_,Ankit Sharma,DW Steyn,DT Christian,_,_,_
517,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,JH Kallis,G Gambhir,_,_,_,_,_,_,_,Z Khan,R Vinay Kumar,HV Patel,M Muralitharan,_,_
518,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,CA Pujara,CH Gayle,V Kohli,AB de Villiers,SS Tiwary,_,_,_,_,B Lee,JH Kallis,L Balaji,_,_,_
519,Feroz Shah Kotla,1,Chennai Super Kings,Delhi Daredevils,F du Plessis,M Vijay,SK Raina,S Badrinath,_,_,_,_,_,IK Pathan,UT Yadav,M Morkel,_,_,_
520,Feroz Shah Kotla,2,Delhi Daredevils,Chennai Super Kings,NV Ojha,V Sehwag,KP Pietersen,_,_,_,_,_,_,JA Morkel,DE Bollinger,R Ashwin,_,_,_
521,Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,RE Levi,TL Suman,RG Sharma,_,_,_,_,_,_,AA Chavan,A Singh,KK Cooper,_,_,_
522,Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,R Dravid,AM Rahane,SP Goswami,OA Shah,_,_,_,_,_,SL Malinga,MM Patel,JEC Franklin,PP Ojha,_,_
523,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,MA Agarwal,CH Gayle,V Kohli,_,_,_,_,_,_,R Ashwin,DE Bollinger,JA Morkel,_,_,_
524,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,M Vijay,F du Plessis,_,_,_,_,_,_,_,DL Vettori,Z Khan,R Vinay Kumar,RR Bhatkal,_,_
525,"Punjab Cricket Association Stadium, Mohali",1,Pune Warriors,Kings XI Punjab,JD Ryder,SC Ganguly,MN Samuels,RV Uthappa,AD Mathews,_,_,_,_,P Kumar,P Awana,AD Mascarenhas,_,_,_
526,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Pune Warriors,PC Valthaty,AC Gilchrist,SE Marsh,_,_,_,_,_,_,AB Dinda,A Nehra,MN Samuels,AD Mathews,_,_
